type_code,video,qid,question,relation,relation_source,temporal_direction,parser_confidence,fallback_reason,anchor_clause,target_clause,position_prior,occurrence_selector,generated_prompts,corrections_applied,aliases_applied
CH,12682618843,3,how was the toy bear shifted to the front at the start,MANNER,type_code,0,0.3,no_clause_pattern_matched,a video frame showing how was the toy bear shifted to the front at the start | how was the toy bear shifted to the front at the start,,null,,"[""a video frame showing how was the toy bear shifted to the front at the start"", ""how was the toy bear shifted to the front at the start""]",,
CH,5333075105,3,how did the man supported himself as he moved through the think snow,MANNER,conflict,0,0.7,,a video frame showing the man supported himself as he moved through the think snow,,null,,"[""a video frame showing the man supported himself as he moved through the think snow""]",,
CH,8495272210,0,how does the lady in yellow get down the slope,MANNER,type_code,0,0.7,,a video frame showing the lady in yellow get down the slope,,null,,"[""a video frame showing the lady in yellow get down the slope""]",,
CH,5875242364,4,how is the baby rested in the pool,MANNER,type_code,0,0.3,no_clause_pattern_matched,a video frame showing how is the baby rested in the pool | how is the baby rested in the pool,,null,,"[""a video frame showing how is the baby rested in the pool"", ""how is the baby rested in the pool""]",,
CH,4217422838,3,how did the boy in green open his present at the beginning of the video,MANNER,type_code,0,0.7,,a video frame showing the boy in green open his present at the beginning of the video,,"[0.0, 0.15]",,"[""a video frame showing the boy in green open his present at the beginning of the video""]",,
CH,10030609934,8,how did the person holding the camera signal to the toy car in the middle of the video,MANNER,type_code,0,0.7,,a video frame showing the person holding the camera signal to the toy car in the middle of the video,,"[0.4, 0.6]",,"[""a video frame showing the person holding the camera signal to the toy car in the middle of the video""]",,
CH,3861485381,2,how did the lady interact with the leopards,MANNER,type_code,0,0.7,,a video frame showing the lady interact with the leopards,,null,,"[""a video frame showing the lady interact with the leopards""]",,
CH,4896969617,0,how did the boy moved down from the play structure,MANNER,type_code,0,0.7,,a video frame showing the boy moved down from the play structure,,null,,"[""a video frame showing the boy moved down from the play structure""]",,
CH,8604794910,6,how did the children tried to hit the ball,MANNER,type_code,0,0.7,,a video frame showing the children tried to hit the ball,,null,,"[""a video frame showing the children tried to hit the ball""]",,
CH,2930782930,1,how did the lady show affection to the boy in the middle of the video,MANNER,type_code,0,0.7,,a video frame showing the lady show affection to the boy in the middle of the video,,"[0.4, 0.6]",,"[""a video frame showing the lady show affection to the boy in the middle of the video""]",,
CH,5504913999,1,how is the man moving in the video,MANNER,type_code,0,0.3,no_clause_pattern_matched,a video frame showing how is the man moving | how is the man moving in the video,,null,,"[""a video frame showing how is the man moving"", ""how is the man moving in the video""]",,
CH,2726497009,8,how did the first female rider get down the slope,MANNER,type_code,0,0.7,,a video frame showing the first female rider get down the slope,,null,,"[""a video frame showing the first female rider get down the slope""]",,
CH,7536230796,6,how does the boy interact with the red toy,MANNER,type_code,0,0.7,,a video frame showing the boy interact with the red toy,,null,,"[""a video frame showing the boy interact with the red toy""]",,
CH,5235909148,2,how does the man lands on the platform on the other side near the end,MANNER,type_code,0,0.7,,a video frame showing the man lands on the platform on the other side near the end,,"[0.8, 1.0]",,"[""a video frame showing the man lands on the platform on the other side near the end""]",,
CH,4978714491,4,how are the bus moving on the road,MANNER,type_code,0,0.3,no_clause_pattern_matched,a video frame showing how are the bus moving on the road | how are the bus moving on the road,,null,,"[""a video frame showing how are the bus moving on the road"", ""how are the bus moving on the road""]",,
CH,2793806282,4,how did the black dog hold the blue toy,MANNER,type_code,0,0.7,,a video frame showing the black dog hold the blue toy,,null,,"[""a video frame showing the black dog hold the blue toy""]",,
CH,9408800471,0,how does the boy pass the ball at the beginning of the video,MANNER,type_code,0,0.7,,a video frame showing the boy pass the ball at the beginning of the video,,"[0.0, 0.15]",,"[""a video frame showing the boy pass the ball at the beginning of the video""]",,
CH,4765564263,4,how did the girl in black suit move away from the orange sheet,MANNER,type_code,0,0.7,,a video frame showing the girl in black suit move away from the orange sheet,,null,,"[""a video frame showing the girl in black suit move away from the orange sheet""]",,
TN,9217939684,8,how does the woman in pink react after the baby falls down,AFTER,type_code,1,0.7,,a video frame showing the woman in pink react after the baby falls down,,null,,"[""a video frame showing the woman in pink react after the baby falls down""]",,
TN,2877270840,6,what does the man do after drinking from the glass,AFTER,type_code,1,0.85,,a video frame showing man drinking from the glass,a video frame showing man,null,,"[""a video frame showing man drinking from the glass"", ""a video frame showing man""]",,
TN,4219909195,4,what did the girl do after the man pat the pillow,AFTER,type_code,1,0.85,,a video frame showing girl the man pat the pillow,a video frame showing girl,null,,"[""a video frame showing girl the man pat the pillow"", ""a video frame showing girl""]",,
TN,2535384528,5,what does the man do right after hitting the ball,AFTER,type_code,1,0.3,no_clause_pattern_matched,a video frame showing the man do right after hitting the ball | what does the man do right after hitting the ball,,null,,"[""a video frame showing the man do right after hitting the ball"", ""what does the man do right after hitting the ball""]",,
TN,6896884547,8,what does the baby do after hitting the ball in the middle of the video,AFTER,type_code,1,0.85,,a video frame showing baby hitting the ball in the middle of the video,a video frame showing baby,"[0.4, 0.6]",,"[""a video frame showing baby hitting the ball in the middle of the video"", ""a video frame showing baby""]",,
TN,9531760182,5,what did the lady do after she took the bowl from the baby,AFTER,type_code,1,0.85,,a video frame showing lady she took the bowl from the baby,a video frame showing lady,null,,"[""a video frame showing lady she took the bowl from the baby"", ""a video frame showing lady""]",,
TN,8493226484,4,what does the lady do after putting her hand behind the head of the boy at the start,AFTER,type_code,1,0.85,,a video frame showing lady putting her hand behind the head of the boy at the start,a video frame showing lady,null,,"[""a video frame showing lady putting her hand behind the head of the boy at the start"", ""a video frame showing lady""]",,
TN,4189100053,5,what did the lady do after she wiped the ice cream from the baby s mouth,AFTER,type_code,1,0.85,,a video frame showing lady she wiped the ice cream from the baby's mouth,a video frame showing lady,null,,"[""a video frame showing lady she wiped the ice cream from the baby's mouth"", ""a video frame showing lady""]",separated_possessive_fixed,
TN,6806999702,8,what did the girl do after the dog took the ball away,AFTER,type_code,1,0.85,,a video frame showing girl the dog took the ball away,a video frame showing girl,null,,"[""a video frame showing girl the dog took the ball away"", ""a video frame showing girl""]",,
TN,3375218204,9,what do the children do after lying on the ground for a while in the middle,AFTER,type_code,1,0.3,no_clause_pattern_matched,a video frame showing what do the children do after lying on the ground for a while in the middle | what do the children do after lying on the ground for a while in the middle,,null,,"[""a video frame showing what do the children do after lying on the ground for a while in the middle"", ""what do the children do after lying on the ground for a while in the middle""]",,
TN,3526597179,6,what did the lady in yellow do after talking to the lady in white,AFTER,type_code,1,0.85,,a video frame showing lady in yellow talking to the lady in white,a video frame showing lady in yellow,null,,"[""a video frame showing lady in yellow talking to the lady in white"", ""a video frame showing lady in yellow""]",,
TN,4272084125,6,what did the man do after the lady finished talking,AFTER,type_code,1,0.85,,a video frame showing man the lady finished talking,a video frame showing man,null,,"[""a video frame showing man the lady finished talking"", ""a video frame showing man""]",,
TN,4857781123,6,what does the dog do after the toy is put away at the end,AFTER,type_code,1,0.85,,a video frame showing dog the toy is put away at the end,a video frame showing dog,null,,"[""a video frame showing dog the toy is put away at the end"", ""a video frame showing dog""]",,
TN,8513603944,8,what does the child in blue helmet do after turning around,AFTER,type_code,1,0.85,,a video frame showing child in blue helmet turning around | a video frame showing child in blue helmet turning body,a video frame showing child in blue helmet,null,,"[""a video frame showing child in blue helmet turning around"", ""a video frame showing child in blue helmet turning body"", ""a video frame showing child in blue helmet""]",,turning around->turning body
TN,8318310610,6,what does the girls do after turning to their left for a while at the start,AFTER,type_code,1,0.85,,a video frame showing girls turning to their left for a while at the start,a video frame showing girls,null,,"[""a video frame showing girls turning to their left for a while at the start"", ""a video frame showing girls""]",,
TN,9917882506,5,how does the girl react after the boy stops his bike,AFTER,type_code,1,0.7,,a video frame showing the girl react after the boy stops his bike,,null,,"[""a video frame showing the girl react after the boy stops his bike""]",,
TN,2596300565,6,what did the baby do after letting go of the pram,AFTER,type_code,1,0.85,,a video frame showing baby letting go of the pram,a video frame showing baby,null,,"[""a video frame showing baby letting go of the pram"", ""a video frame showing baby""]",,
TN,3508459605,4,what does the baby do after first approaching the toy at the start,AFTER,type_code,1,0.85,,a video frame showing baby first approaching the toy at the start,a video frame showing baby,null,,"[""a video frame showing baby first approaching the toy at the start"", ""a video frame showing baby""]",,
TN,4485498145,4,what does the woman in white do after looking down beside her at the start,AFTER,type_code,1,0.85,,a video frame showing woman in white looking down beside her at the start,a video frame showing woman in white,null,,"[""a video frame showing woman in white looking down beside her at the start"", ""a video frame showing woman in white""]",,
TN,4968805923,7,what did the middle man in black do after the rightmost man threw the balloon,AFTER,type_code,1,0.85,,a video frame showing middle man in black the rightmost man threw the balloon,a video frame showing middle man in black,null,,"[""a video frame showing middle man in black the rightmost man threw the balloon"", ""a video frame showing middle man in black""]",,
TP,7364407194,3,what did the baby in blue do before he looked up at the end,BEFORE,type_code,-1,0.85,,a video frame showing baby in blue he looked up at the end,a video frame showing baby in blue,null,,"[""a video frame showing baby in blue he looked up at the end"", ""a video frame showing baby in blue""]",,
TP,5498331490,0,what was the cat doing before it first turned around,BEFORE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing what was the cat doing before it first turned around | what was the cat doing before it first turned around,,null,,"[""a video frame showing what was the cat doing before it first turned around"", ""what was the cat doing before it first turned around""]",,
TP,7001078933,0,what did the man with white helmet do before he bend down,BEFORE,type_code,-1,0.85,,a video frame showing man with white helmet he bend down,a video frame showing man with white helmet,null,,"[""a video frame showing man with white helmet he bend down"", ""a video frame showing man with white helmet""]",,
TP,6097994550,7,what did the man lying down do before he rolled over,BEFORE,type_code,-1,0.85,,a video frame showing man lying down he rolled over,a video frame showing man lying down,null,,"[""a video frame showing man lying down he rolled over"", ""a video frame showing man lying down""]",,
TP,6239210933,1,what does the child look at before drawing on the pink toy,BEFORE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing the child look at before drawing on the pink toy | what does the child look at before drawing on the pink toy,,null,,"[""a video frame showing the child look at before drawing on the pink toy"", ""what does the child look at before drawing on the pink toy""]",,
TP,4984417707,5,what does the man in blue do before the elephant kicked the ball,BEFORE,type_code,-1,0.85,,a video frame showing man in blue the elephant kicked the ball,a video frame showing man in blue,null,,"[""a video frame showing man in blue the elephant kicked the ball"", ""a video frame showing man in blue""]",,
TP,3897746373,4,what did the man do before the girl in pink started swimming,BEFORE,type_code,-1,0.85,,a video frame showing man the girl in pink started swimming,a video frame showing man,null,,"[""a video frame showing man the girl in pink started swimming"", ""a video frame showing man""]",,
TP,5308503740,2,what did the black and white rabbit do before climbing towards the tree,BEFORE,type_code,-1,0.85,,a video frame showing black and white rabbit climbing towards the tree,a video frame showing black and white rabbit,null,,"[""a video frame showing black and white rabbit climbing towards the tree"", ""a video frame showing black and white rabbit""]",,
TP,8557532213,4,what did the boy in yellow do before he passed the ball to the boy in blue,BEFORE,type_code,-1,0.85,,a video frame showing boy in yellow he passed the ball to the boy in blue,a video frame showing boy in yellow,null,,"[""a video frame showing boy in yellow he passed the ball to the boy in blue"", ""a video frame showing boy in yellow""]",,
TP,10030609934,9,what did the boy do before he bend down at the beginning of the video,BEFORE,type_code,-1,0.85,,a video frame showing boy he bend down at the beginning of the video,a video frame showing boy,"[0.0, 0.15]",,"[""a video frame showing boy he bend down at the beginning of the video"", ""a video frame showing boy""]",,
TP,4955723618,6,what did the man in black in front of the man in grey do before the man in grey passed him the microphone,BEFORE,type_code,-1,0.85,,a video frame showing man in black in front of the man in grey the man in grey passed him the microphone,a video frame showing man in black in front of the man in grey,null,,"[""a video frame showing man in black in front of the man in grey the man in grey passed him the microphone"", ""a video frame showing man in black in front of the man in grey""]",,
TP,3429509208,8,what did the boy do before he raised his hand to take the camera,BEFORE,type_code,-1,0.85,,a video frame showing boy he raised his hand to take the camera,a video frame showing boy,null,,"[""a video frame showing boy he raised his hand to take the camera"", ""a video frame showing boy""]",,
TP,2401167740,3,what was the man doing before taking a drink from his cup,BEFORE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing what was the man doing before taking a drink from his cup | what was the man doing before taking a drink from his cup,,null,,"[""a video frame showing what was the man doing before taking a drink from his cup"", ""what was the man doing before taking a drink from his cup""]",,
TP,4925211209,6,what did the man do before cutting the tree,BEFORE,type_code,-1,0.85,,a video frame showing man cutting the tree,a video frame showing man,null,,"[""a video frame showing man cutting the tree"", ""a video frame showing man""]",,
TP,6624174621,6,what was the woman doing before she stood up,BEFORE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing what was the woman doing before she stood up | what was the woman doing before she stood up,,null,,"[""a video frame showing what was the woman doing before she stood up"", ""what was the woman doing before she stood up""]",,
TP,4584426085,8,what was the puppy doing before the lady put the red shirt over its body,BEFORE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing what was the puppy doing before the lady put the red shirt over its body | what was the puppy doing before the lady put the red shirt over its body,,null,,"[""a video frame showing what was the puppy doing before the lady put the red shirt over its body"", ""what was the puppy doing before the lady put the red shirt over its body""]",,
TP,3972259774,3,what do the people do before the man in yellow hands the box over to the lady,BEFORE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing what do the people do before the man in yellow hands the box over to the lady | what do the people do before the man in yellow hands the box over to the lady,,null,,"[""a video frame showing what do the people do before the man in yellow hands the box over to the lady"", ""what do the people do before the man in yellow hands the box over to the lady""]",,
TP,2930782930,5,what did the lady do before she kissed the baby,BEFORE,type_code,-1,0.85,,a video frame showing lady she kissed the baby,a video frame showing lady,null,,"[""a video frame showing lady she kissed the baby"", ""a video frame showing lady""]",,
TP,12392885583,8,what did the man wearing the grey jacket do before the baby got the pacifier,BEFORE,type_code,-1,0.85,,a video frame showing man wearing the grey jacket the baby got the pacifier,a video frame showing man wearing the grey jacket,null,,"[""a video frame showing man wearing the grey jacket the baby got the pacifier"", ""a video frame showing man wearing the grey jacket""]",,
TP,5445581571,3,what is the white dog playing with before he looked up,BEFORE,type_code,-1,0.3,no_clause_pattern_matched,a video frame showing what is the white dog playing with before he looked up | what is the white dog playing with before he looked up,,null,,"[""a video frame showing what is the white dog playing with before he looked up"", ""what is the white dog playing with before he looked up""]",,
TC,3526597179,9,what are the three people doing at the end of the video,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing what are the three people doing at the end of the video | what are the three people doing at the end of the video,,"[0.85, 1.0]",,"[""a video frame showing what are the three people doing at the end of the video"", ""what are the three people doing at the end of the video""]",,
TC,2796821016,9,what does the boy in white do to get pass the other boy at the end,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing the boy in white do to get pass the other boy at the end | what does the boy in white do to get pass the other boy at the end,,null,,"[""a video frame showing the boy in white do to get pass the other boy at the end"", ""what does the boy in white do to get pass the other boy at the end""]",,
TC,8080432373,7,what did the girl do when the television screen turned on,DURING,type_code,0,0.85,,a video frame showing the television screen turned on,a video frame showing girl near the television screen turned on,null,,"[""a video frame showing the television screen turned on"", ""a video frame showing girl near the television screen turned on""]",,
TC,4264435046,6,what did the stray dog do as the woman was running back with her dog at the end,DURING,type_code,0,0.85,,a video frame showing the woman was running back with her dog at the end,a video frame showing stray dog near the woman was running back with her dog at the end,null,,"[""a video frame showing the woman was running back with her dog at the end"", ""a video frame showing stray dog near the woman was running back with her dog at the end""]",,
TC,6291413193,5,how does the lady in white position her arms while the dolphin swims behind her,DURING,type_code,0,0.7,,a video frame showing the lady in white position her arms while the dolphin swims behind her,,null,,"[""a video frame showing the lady in white position her arms while the dolphin swims behind her""]",,
TC,2717347132,1,what did the baby do as he looked his left after the middle,DURING,conflict,0,0.85,,a video frame showing he looked his left after the middle,a video frame showing baby near he looked his left after the middle,null,,"[""a video frame showing he looked his left after the middle"", ""a video frame showing baby near he looked his left after the middle""]",,
TC,4092992100,4,what does the guy in blue and yellow do when he reached the end,DURING,type_code,0,0.85,,a video frame showing he reached the end,a video frame showing guy in blue and yellow near he reached the end,null,,"[""a video frame showing he reached the end"", ""a video frame showing guy in blue and yellow near he reached the end""]",,
TC,4935987905,2,what is the white dog doing as it hid in the bushes,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing what is the white dog doing as it hid in the bushes | what is the white dog doing as it hid in the bushes,,null,,"[""a video frame showing what is the white dog doing as it hid in the bushes"", ""what is the white dog doing as it hid in the bushes""]",,
TC,4955723618,2,what is the lady in black doing with her hands as she spoke into the microphone at the end of the video,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing what is the lady in black doing with her hands as she spoke into the microphone at the end of the video | what is the lady in black doing with her hands as she spoke into the microphone at the end of the video,,"[0.85, 1.0]",,"[""a video frame showing what is the lady in black doing with her hands as she spoke into the microphone at the end of the video"", ""what is the lady in black doing with her hands as she spoke into the microphone at the end of the video""]",,
TC,10309542255,4,how did the animals respond when being pushed by each other during the fight,DURING,type_code,0,0.7,,a video frame showing the animals respond when being pushed by each other during the fight,,null,,"[""a video frame showing the animals respond when being pushed by each other during the fight""]",,
TC,7988210561,9,where is the baby touching as she sat on the floor looking at the toy in the beginning of the video,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing where is the baby touching as she sat on the floor looking at the toy in the beginning of the video | where is the baby touching as she sat on the floor looking at the toy in the beginning of the video,,"[0.0, 0.15]",,"[""a video frame showing where is the baby touching as she sat on the floor looking at the toy in the beginning of the video"", ""where is the baby touching as she sat on the floor looking at the toy in the beginning of the video""]",,
TC,8277866423,1,how did the brown dog feel when the black dog lunges at the bone,DURING,type_code,0,0.7,,a video frame showing the brown dog feel when the black dog lunges at the bone,,null,,"[""a video frame showing the brown dog feel when the black dog lunges at the bone""]",,
TC,9498159305,5,what did the man do when the penguin was breaking the earphones,DURING,type_code,0,0.85,,a video frame showing the penguin was breaking the earphones,a video frame showing man near the penguin was breaking the earphones,null,,"[""a video frame showing the penguin was breaking the earphones"", ""a video frame showing man near the penguin was breaking the earphones""]",,
TC,5429688959,4,what is happening in the video,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing what is happening | what is happening in the video,,null,,"[""a video frame showing what is happening"", ""what is happening in the video""]",,
TC,6691330381,0,what does the man do as the boy lies on the floor,DURING,type_code,0,0.85,,a video frame showing the boy lies on the floor,a video frame showing man near the boy lies on the floor,null,,"[""a video frame showing the boy lies on the floor"", ""a video frame showing man near the boy lies on the floor""]",,
TC,7771650716,0,what is the person in pink shorts doing when the man in white is playing with dog,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing what is the person in pink shorts doing when the man in white is playing with dog | what is the person in pink shorts doing when the man in white is playing with dog,,null,,"[""a video frame showing what is the person in pink shorts doing when the man in white is playing with dog"", ""what is the person in pink shorts doing when the man in white is playing with dog""]",,
TC,6078524411,8,what does the boy do with the toy on the table,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing the boy do with the toy on the table | what does the boy do with the toy on the table,,null,,"[""a video frame showing the boy do with the toy on the table"", ""what does the boy do with the toy on the table""]",,
TC,4219909195,0,what did the man gestured to the girl near the start of the video,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing the man gestured to the girl near the start of the video | what did the man gestured to the girl near the start of the video,,null,,"[""a video frame showing the man gestured to the girl near the start of the video"", ""what did the man gestured to the girl near the start of the video""]",,
TC,4130504920,1,what is the baby doing as the balloon was placed above her,DURING,type_code,0,0.3,no_clause_pattern_matched,a video frame showing what is the baby doing as the balloon was placed above her | what is the baby doing as the balloon was placed above her,,null,,"[""a video frame showing what is the baby doing as the balloon was placed above her"", ""what is the baby doing as the balloon was placed above her""]",,
TC,5308503740,1,what did one of the rabbits do when the person approached it near the end of the video,DURING,type_code,0,0.85,,a video frame showing the person approached it near the end of the video,a video frame showing one of the rabbits near the person approached it near the end of the video,"[0.8, 1.0]",,"[""a video frame showing the person approached it near the end of the video"", ""a video frame showing one of the rabbits near the person approached it near the end of the video""]",,
